masked_word,target,original_word,wrong_guesses
_o_,l,vol,"['r', 'n', 'i', 's']"
uc_,a,uca,"['i', 'o', 'r']"
_m_,e,eme,['i']
_ur,s,sur,['a']
s_a,l,sla,"['r', 'e', 'o', 'i']"
c_s,o,cos,['i']
_a_,e,bae,"['m', 'c', 'l', 'p', 'r']"
d_l,e,del,['o']
__m,a,fam,"['o', 'e', 'i', 'r']"
_r_,o,wro,"['e', 'i', 'a', 't']"
y_y,o,yoy,"['a', 'e', 'i']"
bo_,g,bog,['r']
_dd,o,odd,"['e', 'i', 'a', 's', 'r']"
_bi,o,obi,"['a', 'e']"
sa_,g,sag,"['b', 'p', 'm', 'v']"
i__,l,ill,"['n', 'o', 'e', 'r', 's']"
a_o,h,aho,['p']
d__,i,die,"['o', 'a', 'r', 's', 'n']"
ur_,i,uri,['e']
__t,u,wut,"['e', 'o', 'i', 'a']"
z__,p,zep,"['o', 'i', 'a', 'n']"
__w,v,vow,"['e', 'i', 'a', 'n', 'r']"
__n,p,pon,"['i', 'e', 'a', 'r', 's']"
_ei,f,fei,"['r', 'l']"
_va,u,uva,"['e', 'o', 'i', 'r']"
__m,a,aam,"['o', 'e', 'i', 'r']"
sa_,x,sax,"['b', 'p', 'g', 'm']"
_ea,n,nea,"['r', 'i', 'o', 's']"
p_t,s,pst,"['o', 'e', 'i']"
_ay,n,nay,"['b', 'j']"
e_o,g,ego,"['r', 'n', 'l']"
__e,i,sie,"['r', 'o', 'a', 'n']"
ik_,e,ike,"['o', 'a', 's']"
s_s,u,sus,"['o', 'e', 'i', 'a', 'r']"
__l,c,col,"['e', 'i', 'a', 'r', 'n']"
i_u,m,imu,"['r', 's', 'l']"
r_p,i,rip,"['e', 'o', 'a', 's']"
_ee,b,bee,['r']
so_,w,sow,"['r', 'l', 'i']"
l_y,e,ley,"['o', 'a', 'i']"
_w_,e,ewe,"['o', 's']"
_e_,p,per,"['i', 'n', 'o', 's']"
__a,l,loa,"['i', 'e', 'r', 'n', 's']"
si_,r,sir,"['n', 'a', 'o']"
__p,l,lap,"['o', 'e', 'i', 'r']"
_u_,t,cut,"['r', 'o', 'e', 's']"
ca_,g,cag,"['p', 'b', 'm', 'v']"
_et,g,get,"['r', 'l', 'n']"
_i_,x,six,"['n', 'r', 'l', 'o', 'e']"
ca_,p,cap,"['b', 'm']"
ya_,m,yam,"['k', 'n', 'r', 'd']"
_e_,s,oes,"['r', 'i', 'n', 'a', 'l']"
r_g,u,rug,['e']
ti_,n,tin,"['e', 'r', 'l']"
_ap,w,wap,"['s', 'c']"
aa_,l,aal,"['r', 'c', 'm', 'd']"
_y_,l,kyl,"['o', 'r', 'e', 'i']"
f_z,e,fez,"['i', 'a']"
_na,u,una,"['i', 'o', 'e']"
ae_,s,aes,"['l', 'g', 'r']"
t_o,w,two,"['r', 'i']"
_ar,g,gar,['b']
p_a,u,pua,"['i', 'l', 'o', 'r']"
_e_,p,pea,"['r', 'i', 'n', 'o', 's']"
ou_,t,out,"['e', 's', 'l', 'r']"
f__,a,fan,"['o', 'i', 'e', 'r', 's']"
__p,d,dop,"['e', 'i', 'a', 'r']"
ar_,c,arc,['b']
d_r,o,dor,['e']
ul_,e,ule,"['a', 'i']"
ke_,d,ked,"['r', 'n']"
at_,i,ati,"['c', 'p', 'r', 'f']"
_v_,a,ava,"['o', 'e', 'i']"
n__,t,net,"['o', 'i', 'a', 'r', 's']"
ib_,a,iba,['o']
__c,p,pac,"['o', 'e', 'i', 'n', 'r']"
_ry,a,ary,"['o', 'e', 'i']"
ya_,p,yap,"['k', 'n', 'r', 'd']"
_an,j,jan,"['k', 'p', 'b']"
o_k,c,ock,"['e', 'r', 'i']"
b_d,o,bod,"['e', 'i', 'a', 'r']"
su_,z,suz,"['r', 'e', 'n', 'l']"
ma_,d,mad,"['x', 'r', 'k', 'c']"
_ue,h,hue,"['q', 's']"
_ee,z,zee,['r']
c__,e,cee,"['o', 'i', 'r', 'a', 'n']"
_k_,e,eke,"['i', 'o', 'a', 's', 'r']"
w__,t,wat,"['o', 'i', 'e', 'r', 'n']"
__o,p,pro,"['i', 'e', 'a', 's']"
_ak,l,lak,"['s', 'r', 'm']"
to_,u,tou,"['r', 'i', 'e']"
da_,s,das,"['v', 'b']"
__p,a,sap,"['o', 'e', 'i', 'r']"
__e,n,nye,"['r', 'o', 'i', 'a']"
u_u,t,utu,"['r', 's']"
_ob,m,mob,"['r', 's']"
__m,c,cwm,"['o', 'e', 'i', 'a', 'r']"
_ae,n,nae,"['b', 'k']"
__z,i,wiz,"['e', 'o', 'a', 'r', 'n']"
go_,y,goy,"['r', 'l', 'i', 's']"
_ax,m,max,"['t', 's', 'b']"
_y_,t,tyt,['o']
__k,o,sok,"['e', 'i', 'a', 'r', 'n']"
te_,c,tec,"['r', 'n']"
io_,n,ion,"['d', 's', 'l']"
h_a,i,hia,"['o', 'e', 'r', 's']"
_it,b,bit,"['r', 'l', 'n', 's']"
__y,d,dry,"['o', 'e', 'a', 'i']"
_h_,d,dhu,"['e', 'o', 'i', 's', 'r']"
__m,t,tum,"['o', 'e', 'i', 'a']"
f__,o,for,"['i', 'e', 'a', 'n', 's']"
_h_,a,aha,['e']
ko_,n,kon,"['r', 'i']"
_ur,j,jur,['a']
__i,u,sui,"['o', 'r', 'e', 'a']"
pa_,w,paw,"['l', 't', 'r', 's']"
t__,m,tam,"['e', 'o', 'i', 'r']"
a__,b,abb,"['c', 'l', 'r', 'd']"
_ss,a,ass,"['o', 'e']"
mu_,d,mud,"['r', 'l', 's', 't']"
t_a,u,tua,"['i', 'r', 'o']"
yi_,d,yid,"['e', 'n', 'o', 'r']"
p_r,a,par,"['i', 'o', 'e', 's']"
_ru,a,aru,"['o', 't']"
__e,a,ake,"['r', 'o', 'i', 's']"
fo_,b,fob,"['r', 'i']"
re_,b,reb,['i']
_nn,i,inn,"['e', 'a', 'u', 'o']"
_om,d,dom,"['r', 's']"
t__,m,tim,"['e', 'o', 'a', 'r']"
m_w,a,maw,"['o', 'e']"
r_g,e,reg,['i']
d_w,a,daw,"['o', 'e']"
_o_,p,poi,"['r', 'n', 'l', 's', 'e']"
w_n,a,wan,"['i', 'e', 'o']"
_e_,t,ted,"['r', 'i', 'n', 'o', 's']"
_e_,p,kep,"['r', 'i', 'n', 'o']"
_ey,k,key,"['r', 'l', 'n']"
h__,d,hud,"['e', 'o', 'i', 'a']"
__s,d,dos,"['i', 'e', 'a', 'r', 'n']"
_dz,o,odz,"['e', 'i']"
gu_,l,gul,"['r', 'e', 'a']"
c__,u,cub,"['o', 'i', 'e', 'r', 'a']"
t_v,a,tav,"['e', 'i', 'o']"
ba_,g,bag,"['l', 'r']"
__a,p,pya,"['i', 'e', 'o', 'r', 'n']"
w_s,i,wis,"['e', 'o', 'a', 'r']"
g__,j,gaj,"['o', 'e', 'r', 'i']"
s_y,k,sky,"['t', 'o', 'a', 'i']"
gu_,r,gur,"['e', 'l', 'a', 's']"
ho_,t,hot,"['r', 'l', 'e', 'n']"
p_b,o,pob,"['i', 'e']"
ya_,t,yat,"['k', 'n', 'r', 'd']"
wi_,g,wig,"['n', 'l']"
ly_,e,lye,['o']
lo_,t,lot,"['r', 'i', 'a']"
b__,l,bal,"['e', 'o', 'i', 'r', 'n']"
__m,a,arm,"['o', 'e', 'i', 's', 'n']"
g_d,u,gud,"['o', 'e', 'i', 'a']"
_eo,n,neo,"['r', 'l', 'a']"
s__,m,sam,"['e', 'o', 'i', 'r', 'n']"
__g,e,beg,"['i', 'o', 'a', 'r']"
wa_,h,wah,['y']
_u_,d,cud,"['r', 'o', 'e', 's', 'i']"
o__,d,oda,"['e', 'i', 'r', 's']"
_r_,t,tri,"['o', 'e', 'a', 's', 'n']"
_ex,h,hex,"['r', 'a', 's', 'o']"
v_p,i,vip,"['o', 'e', 'a']"
w_g,a,wag,"['e', 'i']"
t_w,a,taw,['o']
__c,r,orc,"['e', 'i', 'a', 'n']"
ho_,g,hog,"['r', 'l', 'e', 'n']"
n_n,u,nun,"['o', 'i', 'a', 'e']"
_t_,a,ata,"['e', 'i', 'o', 'r']"
he_,r,her,['i']
_ud,p,pud,['r']
us_,t,ust,"['e', 'r', 'o', 'a']"
_e_,n,zen,"['r', 'i', 'o', 's', 'a']"
lu_,r,lur,['e']
oi_,l,oil,"['e', 'n', 's']"
a__,d,add,"['c', 'l', 'r', 'm', 's']"
_ac,b,bac,['p']
o__,e,ore,"['i', 's', 'n', 'a']"
_ep,c,cep,"['r', 's', 'l']"
s__,u,suu,"['e', 'o', 'i', 'a']"
o_d,l,old,['r']
__m,u,hum,"['o', 'e', 'i', 'a', 'r']"
_ki,o,oki,"['s', 'e', 'a']"
_r_,a,gra,"['o', 'e', 'i', 't', 's']"
_w_,d,owd,"['e', 's', 'i', 't']"
_ub,p,pub,"['s', 'r', 'l']"
__f,i,gif,"['e', 'o', 'a', 'r', 'n']"
s__,l,sol,"['e', 'i', 'a', 'r', 'n']"
_oa,g,goa,"['r', 'i', 'n']"
_io,r,rio,"['l', 'n']"
_ic,h,hic,"['l', 'n', 's']"
t_i,j,tji,['r']
__i,e,wei,"['o', 'r', 'a', 's', 'n']"
_ai,v,vai,"['k', 'p', 'b', 'm']"
_bo,i,ibo,"['a', 'e', 's']"
ca_,l,cal,['p']
n__,e,nee,"['o', 'i', 'a', 'r']"
_v_,e,eve,"['o', 'i', 'a', 'r']"
_ee,d,dee,['r']
ro_,k,rok,"['e', 'i', 'n']"
_i_,c,vic,"['n', 'r', 's', 'l']"
_et,j,jet,"['r', 'l']"
_i_,p,nip,"['r', 's', 'l', 'o', 'e']"
f__,e,fee,"['o', 'i', 'r', 'a', 'n']"
_ue,l,lue,"['q', 's', 'r']"
m_r,o,mor,"['i', 'e', 'a', 't']"
_o_,k,kob,"['r', 'n', 'i', 'l']"
h_h,u,huh,"['o', 'e', 'a', 'i']"
_un,s,sun,['l']
_al,s,sal,"['b', 'p', 'k']"
wa_,d,wad,"['y', 'k']"
__v,l,liv,"['e', 'o', 'a', 'r']"
i_d,n,ind,"['o', 'e', 'r', 's']"
au_,h,auh,['r']
_ew,y,yew,"['r', 'n']"
wy_,e,wye,['s']
k_u,r,kru,"['o', 'l']"
o__,u,our,"['e', 'i', 's', 'n']"
_ob,d,dob,"['r', 's', 'n', 'l']"
_ig,n,nig,"['r', 's', 'l']"
y__,a,yak,"['o', 'e', 'i', 'n', 'r']"
_en,k,ken,"['r', 's']"
pe_,n,pen,"['i', 'r', 'o']"
_ix,n,nix,['s']
le_,d,led,"['o', 'a', 'r', 'i']"
a__,l,aln,"['c', 'r', 'd', 'm']"
l__,e,les,"['o', 'i', 'a', 'r', 'n']"
__e,u,use,"['r', 'o', 'i', 'a', 'n']"
_im,k,kim,"['l', 's']"
k_b,e,keb,['i']
_sm,i,ism,"['o', 'e', 'a']"
s_v,o,sov,['e']
ed_,o,edo,"['i', 's', 'a']"
_h_,y,why,"['e', 'o', 'i', 's']"
_h_,o,sho,"['e', 'i', 'r', 'a']"
to_,a,toa,['r']
_a_,m,mar,"['b', 'c', 'l', 'p']"
g__,o,goo,"['e', 'r']"
_h_,o,oho,"['e', 'i', 's', 'r']"
e__,n,eyn,"['i', 'o', 'r', 's', 'a']"
t_x,u,tux,['o']
_ip,l,lip,"['s', 'n', 'r']"
a__,t,ast,"['c', 'l', 'r', 'd', 'm']"
_be,a,abe,"['o', 'i', 'r', 's']"
r_d,i,rid,['e']
_an,b,ban,"['k', 'p']"
k__,a,kaw,"['o', 'i', 'e', 'n']"
j_y,a,jay,"['o', 'e', 'i']"
st_,u,stu,"['r', 'e', 'o', 'i']"
sh_,a,sha,"['e', 'o']"
_et,k,ket,"['r', 'l']"
o_o,f,ofo,"['r', 'i']"
_um,f,fum,"['l', 'r', 's', 'i']"
_en,l,len,"['r', 's', 'a']"
d_w,o,dow,['e']
g_m,e,gem,"['o', 'i']"
_rd,e,erd,['o']
_id,s,sid,"['r', 'l', 'n']"
_ad,t,tad,"['b', 'p', 'm', 'v']"
f_e,a,fae,['r']
so_,c,soc,"['r', 'l', 'i']"
__t,a,kat,"['e', 'o', 'i', 'r', 'n']"
l_c,a,lac,"['o', 'i']"
_ea,b,bea,['r']
_o_,b,bos,"['r', 'n', 'i', 'l', 'e']"
j_g,o,jog,"['i', 'e', 'a']"
_i_,n,bin,"['r', 's', 'l', 'o']"
s_l,i,sil,"['e', 'o', 'a', 'r']"
_y_,l,lys,"['o', 'r', 'e', 'i', 'n']"
el_,m,elm,['i']
e_a,r,era,"['i', 'n', 'l']"
_a_,d,dar,"['m', 'b', 'c', 'l']"
u_d,r,urd,"['n', 'e']"
_il,k,kil,"['r', 's', 'a']"
ir_,a,ira,"['e', 'o']"
_aa,s,saa,"['i', 'r', 'e', 'o']"
ra_,h,rah,['b']
s__,h,shy,"['e', 'o', 'i', 'a', 'r']"
_a_,m,map,"['b', 'c', 'l', 'r', 'd']"
__e,m,mae,"['r', 'o', 'i', 's']"
__m,i,aim,"['o', 'e', 'r', 's', 'n']"
_my,a,amy,['o']
_en,f,fen,"['r', 's']"
__l,p,pol,"['e', 'i', 'a', 'r', 'n']"
g_t,u,gut,"['e', 'i', 'o']"
_ra,b,bra,"['o', 'i']"
_um,s,sum,"['l', 'r']"
sa_,j,saj,"['b', 'p']"
w_d,e,wed,"['i', 'o', 'a', 's']"
g_p,i,gip,"['o', 'e', 'a']"
a__,t,art,"['c', 'l', 'd', 'm', 's']"
t_i,a,tai,"['r', 'o']"
_ib,j,jib,"['l', 'r', 's']"
t_y,a,tay,"['o', 'r', 'e', 'h']"
pa_,u,pau,"['l', 't']"
d_v,e,dev,"['i', 'o', 'a', 's']"
t__,a,tea,"['o', 'i', 'r', 'n', 's']"
g_g,a,gag,"['e', 'o', 'i', 'r']"
__g,j,jug,"['e', 'i', 'o', 'a', 'r']"
_ns,e,ens,"['i', 'u', 'a']"
a_a,b,aba,"['q', 'c', 'p', 'g', 'm']"
_p_,t,apt,"['o', 'e', 'i', 's']"
_ll,a,all,"['e', 'i', 'o', 'r', 's']"
_rs,m,mrs,['o']
__b,u,fub,"['o', 'e', 'i', 'a', 'r']"
_x_,y,oxy,"['e', 'i', 'a', 't']"
__g,i,ing,"['e', 'o', 'a', 'r', 's']"
ru_,x,rux,"['e', 'n', 's']"
g_z,u,guz,"['e', 'a']"
w_t,e,wet,"['i', 'a', 'o', 's']"
e_a,t,eta,['r']
_ai,k,kai,"['p', 'b']"
_at,s,sat,"['p', 'k', 'c']"
de_,b,deb,"['r', 'o', 's', 'a']"
_ee,p,pee,"['r', 's', 'l', 'n', 'i']"
p_y,a,pay,['o']
se_,a,sea,"['r', 'o']"
n__,m,nam,"['o', 'i', 'e', 'r', 's']"
__o,a,yao,"['r', 'i', 'e', 's', 't']"
h__,a,hag,"['e', 'o', 'i', 'r', 'n']"
__t,i,sit,"['e', 'o', 'a', 'r']"
sr_,i,sri,['e']
_ot,f,fot,"['r', 'e']"
b_b,o,bob,"['i', 'e', 'a', 'r']"
f__,d,fod,"['i', 'e', 'r', 'a']"
a__,n,ann,"['c', 'l']"
c__,t,cit,"['o', 'e', 'r', 'a', 'n']"
to_,d,tod,"['r', 'i', 'e']"
_do,i,ido,"['a', 'e', 's']"
t_t,o,tot,"['e', 'i', 'a', 'r']"
__r,a,far,"['o', 'e', 'i', 's']"
p__,u,phu,"['o', 'i', 'e', 'r']"
_te,a,ate,"['o', 'i', 's']"
b_s,i,bis,"['e', 'o', 'a']"
_o_,i,hoi,"['r', 'n', 'l', 's', 'e']"
_xe,a,axe,"['o', 'i']"
d__,l,dal,"['e', 'o', 'i', 'r', 's']"
_u_,d,wud,"['r', 'o', 'e', 's']"
gi_,l,gil,"['r', 'n']"
g_l,e,gel,['o']
_de,o,ode,"['i', 'a']"
no_,r,nor,"['i', 's']"
f__,g,fog,"['i', 'e', 'r', 'a']"
_u_,e,gue,"['r', 'o', 's', 'i', 'a']"
i__,k,irk,"['n', 'o', 'e', 's', 'a']"
to_,i,toi,['r']
ga_,d,gad,"['r', 'b', 'v', 'l']"
_ul,n,nul,"['r', 'a', 'e']"
n_n,o,non,"['i', 'a', 'e', 'u']"
_e_,p,yep,"['r', 'i', 'n', 'o', 's']"
_ar,l,lar,"['b', 'k', 'p']"
__r,e,ber,"['o', 'i', 'a', 's']"
ka_,f,kaf,"['r', 'l', 'n']"
ru_,e,rue,"['n', 's', 'i']"
y_n,u,yun,['o']
kr_,a,kra,"['o', 'e', 'i', 's']"
be_,y,bey,"['r', 'n']"
__t,u,rut,"['e', 'o', 'i', 'a', 'n']"
_ie,g,gie,"['r', 'l', 's', 'n']"
_lo,f,flo,"['a', 'c', 'i', 's']"
_ch,o,och,"['e', 'i']"
p_y,l,ply,"['o', 'a', 'e']"
__l,m,mel,"['o', 'i', 'a', 'r', 'n']"
sl_,y,sly,"['e', 'o', 'a', 'i']"
__u,a,aku,"['o', 'r', 'e', 'i', 's']"
u_u,m,umu,"['r', 's']"
_et,h,het,"['r', 'l', 'n', 's']"
d_x,u,dux,"['e', 'o', 'i']"
_ry,t,try,['o']
_l_,i,eli,"['o', 'a', 'r', 's', 't']"
_i_,m,mil,"['n', 'r', 's', 'o', 'e']"
__n,m,mon,"['i', 'e', 'a', 'r']"
_ew,l,lew,"['r', 'n', 's', 'a']"
_oo,b,boo,"['r', 'l', 's', 't', 'n']"
g_d,i,gid,"['o', 'e']"
_rs,e,ers,['o']
_ex,v,vex,"['r', 'a']"
_j_,i,uji,"['o', 'e', 'a', 'r', 'n']"
g_m,a,gam,"['o', 'e', 'i', 's']"
_ic,p,pic,"['l', 'n', 's', 'r']"
ch_,i,chi,"['o', 'e', 'a', 'r']"
y__,d,yed,"['o', 'a', 'i', 'n', 'r']"
mo_,p,mop,"['r', 's', 'n', 'l']"
n_t,u,nut,"['i', 'o']"
g_g,o,gog,"['e', 'a', 'i']"
_id,n,nid,"['r', 's', 'l']"
r_s,a,ras,"['e', 'o']"
__b,a,rab,"['o', 'e', 'i', 's', 'n']"
ow_,k,owk,['n']
_ag,f,fag,"['j', 'b']"
pu_,r,pur,"['l', 'n', 's']"
k__,r,kor,"['i', 'e', 'a', 'n']"
__n,p,pan,"['o', 'i', 'e', 'r']"
m__,t,mot,"['e', 'i', 'a', 'r']"
_a_,h,haw,"['m', 'b', 'c', 'l', 'p']"
u_a,r,ura,"['n', 'l', 's']"
__e,t,ute,"['r', 'o', 'i', 'a', 's']"
k__,u,kyu,"['o', 'i', 'e', 'a', 'n']"
_aw,r,raw,['j']
_o_,l,lob,"['r', 'n', 'i', 's', 'e']"
_ab,c,cab,"['s', 't', 'l']"
d__,p,dup,"['e', 'o', 'i', 'a', 'r']"
in_,k,ink,"['e', 'o', 't', 's']"
go_,n,gon,"['r', 'l']"
v_g,o,vog,"['i', 'e', 'a']"
je_,w,jew,"['r', 'i']"
_ey,f,fey,"['r', 'l']"
_a_,h,hao,"['m', 'b', 'c', 'l', 'p']"
h_i,u,hui,['e']
ou_,f,ouf,"['t', 'e', 's', 'l']"
_n_,a,ana,['i']
g_m,u,gum,['o']
g_s,e,ges,['o']
le_,u,leu,"['o', 'a', 'r', 'i']"
c_a,h,cha,"['r', 'o', 'i']"
le_,r,ler,['o']
a_a,m,ama,"['q', 'c']"
i_p,m,imp,"['s', 'n', 'r']"
b_m,u,bum,"['i', 'e', 'o', 'a']"
_ah,y,yah,['k']
_oo,m,moo,"['r', 'l', 's', 't']"
s_n,a,san,"['o', 'i']"
_an,d,dan,"['k', 'p']"
_ls,e,els,"['i', 'o']"
ha_,p,hap,"['m', 'y']"
o__,y,ory,"['e', 'i', 's', 'n']"
m_w,e,mew,"['o', 'a', 'i', 's']"
r__,p,rep,"['o', 'i', 'a', 'n', 's']"
_um,c,cum,"['l', 'r']"
b__,t,but,"['e', 'o', 'i', 'a', 'r']"
__d,a,cad,"['e', 'o', 'i', 'r']"
c_y,a,cay,"['o', 'r', 'i']"
_a_,l,lab,"['m', 'c', 'p', 'r', 'd']"
_hi,p,phi,"['s', 'r']"
g_p,a,gap,['o']
_ry,c,cry,"['o', 'a', 'e', 'i']"
_ib,d,dib,"['l', 'r']"
s_a,i,sia,"['r', 'e']"
ke_,r,ker,"['n', 'l', 'o', 'i']"
__b,u,hub,"['o', 'e', 'i', 'a']"
_l_,a,aly,"['o', 'e', 'i', 'r']"
r_t,a,rat,"['e', 'o', 'i', 's']"
g_s,u,gus,"['o', 'e', 'a', 'i']"
mu_,s,mus,"['r', 'l']"
_o_,p,cop,"['r', 'n', 'i', 'l']"
_ds,o,ods,"['e', 'i', 'a']"
__a,i,via,"['e', 'o', 'r', 'n', 's']"
__n,d,dun,"['o', 'i', 'e', 'a']"
a__,m,aum,"['c', 'l', 'r', 'd', 's']"
ti_,b,tib,['n']
m__,e,men,"['o', 'i', 'a', 'r']"
gi_,t,git,"['r', 'n']"
_oe,s,soe,"['r', 'l', 'n']"
g___,l,gulp,"['o', 'e', 'a', 'r']"
_or_,t,wort,"['e', 'n', 'i']"
_pin,s,spin,['o']
_oa_,t,coat,"['l', 'd', 'k']"
___n,t,taun,"['o', 'e', 'i', 'r', 's']"
r_ss,u,russ,"['o', 'e']"
b_to,i,bito,['e']
sa__,e,saxe,"['l', 'r', 'm', 'y']"
d_et,u,duet,"['i', 'r']"
_e__,f,teff,"['r', 'i', 'n', 'o', 'a']"
q___,e,qere,"['u', 'i', 'a', 'o', 'n']"
_ea_,t,seat,"['l', 'r', 'd', 'p']"
w_lk,a,walk,"['e', 'i']"
__e_,l,bleo,"['r', 'i', 'n', 'a']"
_o_d,i,void,"['r', 'n', 'l']"
___p,a,shap,"['o', 'i', 'e', 'r']"
_o__,l,lown,"['r', 'e', 'i', 's', 't']"
_n__,a,anax,"['e', 'i', 'u', 'o']"
p_ll,i,pill,"['e', 'o', 'a', 'u']"
j_an,o,joan,"['e', 'u']"
__r_,e,acre,"['o', 'i', 'n', 's']"
hei_,n,hein,['l']
___e,i,wire,"['o', 'a', 'n', 'l', 's']"
__rl,u,burl,"['o', 'i', 'e', 'a']"
_eek,b,beek,['r']
r__g,a,rang,"['e', 'o', 'i']"
_u__,f,muff,"['r', 'e', 'n', 'i', 'o']"
_oo_,b,boor,"['l', 'n', 's', 't', 'i']"
___o,t,typo,"['e', 'i', 'a', 'r']"
___d,i,boid,"['e', 'r', 'a', 'n']"
b_o_,g,brog,"['i', 'l', 'n']"
s_ee,k,skee,"['p', 't']"
awa_,g,awag,"['y', 'k', 'n']"
l_ak,e,leak,['o']
___e,p,puce,"['o', 'i', 'a', 'r', 'n']"
g_ir,a,gair,['l']
___e,d,dyke,"['o', 'i', 'a', 'r', 'n']"
ra_a,g,raga,"['b', 'p', 'y', 'v']"
o___,l,only,"['e', 'i', 'r', 'a', 's']"
pa_m,l,palm,"['r', 'i']"
__f_,e,safe,"['i', 'o', 'n', 'r']"
o_ic,t,otic,"['r', 'n']"
oo_d,r,oord,"['e', 'i']"
c__k,a,cask,"['o', 'r', 'e', 'n']"
___h,t,tush,"['o', 'e', 'i', 'a']"
___a,d,duma,"['o', 'i', 'e', 'r', 'n']"
__tt,m,mutt,"['e', 'o', 'i', 'a']"
