masked_word,target,original_word,wrong_guesses
c_l,o,col,"['i', 'a']"
i_u,m,imu,"['r', 's', 'l', 'o']"
r__,p,rip,"['e', 'o', 'a', 'n']"
_ee,b,bee,"['r', 's']"
so_,w,sow,"['r', 'l', 'i']"
le_,y,ley,"['o', 'a', 'r']"
_w_,e,ewe,"['o', 's']"
_er,p,per,"['i', 's']"
l_a,o,loa,"['e', 'i', 'r', 's']"
_ir,s,sir,"['a', 'l']"
_a_,p,lap,"['m', 'b', 'c', 'r', 'd']"
__t,c,cut,"['e', 'o', 'i', 'a']"
c_g,a,cag,"['o', 'i']"
__t,e,get,"['o', 'i', 'a', 'r']"
__x,s,six,"['e', 'o', 'a', 'n']"
c__,a,cap,"['o', 'i', 'e', 'r', 'n']"
ya_,m,yam,"['k', 'n', 'r']"
_es,o,oes,"['r', 'a', 'i', 'l']"
r_g,u,rug,['e']
t_n,i,tin,"['o', 'e', 'a']"
_ap,w,wap,['s']
aa_,l,aal,"['r', 'c', 'm']"
_y_,l,kyl,"['o', 'r', 'e', 'i']"
_e_,f,fez,"['r', 'i', 'n', 'o', 's']"
__a,n,una,"['i', 'e', 'o', 'r']"
__s,a,aes,"['i', 'o', 'r', 'n']"
t_o,w,two,"['r', 'i', 'l', 'h']"
_ar,g,gar,"['b', 'k', 'p', 'm']"
_ua,p,pua,"['r', 's', 'l']"
pe_,a,pea,"['i', 'r', 'o']"
o_t,u,out,"['i', 'e', 'r', 's']"
f_n,a,fan,"['i', 'o', 'e', 'u']"
__p,o,dop,"['e', 'i', 'a', 'r', 's']"
a__,r,arc,"['l', 'd', 'm', 's']"
do_,r,dor,"['s', 'l', 'n']"
_le,u,ule,"['o', 'a', 'i']"
_ed,k,ked,"['r', 's']"
__i,a,ati,"['o', 'r', 'e', 's']"
a_a,v,ava,"['q', 'c', 'b', 'p']"
ne_,t,net,"['r', 'o', 'a']"
ib_,a,iba,"['o', 'e', 'r']"
_ac,p,pac,"['b', 's', 'm', 'v']"
_ry,a,ary,"['o', 'e', 'i']"
_ap,y,yap,"['s', 'c']"
__n,a,jan,"['o', 'i', 'e', 'r', 's']"
_ck,o,ock,"['e', 'i', 'a', 's']"
bo_,d,bod,"['r', 'n', 'l']"
_uz,s,suz,['l']
_a_,d,mad,"['b', 'c', 'l', 'p', 'r']"
hu_,e,hue,"['r', 's']"
_ee,z,zee,"['r', 's', 'l']"
c__,e,cee,"['o', 'i', 'r', 'a']"
_k_,e,eke,"['i', 'o', 'a', 's', 'r']"
w__,a,wat,"['o', 'i', 'e', 'r']"
p__,o,pro,"['i', 'e', 'a', 'n', 'l']"
_a_,k,lak,"['m', 'b', 'c', 'p']"
_o_,u,tou,"['r', 'n', 'i', 'l', 's']"
d_s,a,das,['e']
sa_,p,sap,"['b', 'g']"
ny_,e,nye,['o']
_t_,u,utu,"['e', 'i', 'o', 'a']"
m_b,o,mob,"['i', 'e', 'a', 's']"
__m,w,cwm,"['o', 'e', 'i', 'a', 'r']"
na_,e,nae,"['v', 'p', 'b']"
__z,w,wiz,"['e', 'o', 'a', 'r', 'n']"
__y,o,goy,"['e', 'a', 'i', 'r', 'n']"
_ax,m,max,"['t', 's', 'b']"
t_t,y,tyt,"['e', 'i']"
s_k,o,sok,"['e', 'i']"
t_c,e,tec,['i']
i_n,o,ion,['s']
_i_,a,hia,"['n', 'r', 's', 'l']"
bi_,t,bit,['n']
dr_,y,dry,['e']
_hu,d,dhu,['s']
t_m,u,tum,"['o', 'i', 'e']"
_or,f,for,"['a', 'c']"
_h_,a,aha,"['e', 'o']"
_on,k,kon,['i']
_ur,j,jur,"['a', 's']"
s__,i,sui,"['e', 'o', 'a', 'r', 'n']"
p_w,a,paw,"['e', 'o', 'i']"
__m,a,tam,"['o', 'e', 'i', 'r', 's']"
a__,b,abb,"['c', 'l', 'r', 'd']"
_ss,a,ass,"['o', 'e', 'i', 'r']"
m_d,u,mud,"['i', 'e', 'o']"
_ua,t,tua,"['r', 's']"
y__,i,yid,"['o', 'e', 'a', 'n']"
pa_,r,par,"['l', 't', 's', 'c']"
ar_,u,aru,"['b', 'g']"
_ke,a,ake,"['o', 'i', 's']"
fo_,b,fob,"['r', 'i', 'l']"
_eb,r,reb,"['s', 'l']"
i__,n,inn,"['o', 'e', 'r', 's', 'a']"
d__,o,dom,"['e', 'i', 'a', 'r', 's']"
_im,t,tim,['l']
_a_,w,maw,"['b', 'c', 'l', 'p']"
re_,g,reg,"['i', 'a']"
_aw,d,daw,"['j', 'b', 's', 'k']"
__i,o,poi,"['r', 'e', 'a', 's']"
wa_,n,wan,"['y', 'k', 'x', 'p']"
te_,d,ted,"['r', 'n']"
k_p,e,kep,['i']
ke_,y,key,"['r', 'n', 'l']"
h__,u,hud,"['e', 'o', 'i', 'a', 'r']"
_o_,s,dos,"['r', 'n', 'i', 'l', 'e']"
od_,z,odz,"['e', 'i', 's', 'a']"
gu_,l,gul,"['r', 'e', 'a']"
_u_,b,cub,"['r', 'o', 'e', 's', 'i']"
__v,a,tav,"['e', 'o', 'i', 'r']"
_ag,b,bag,['j']
_y_,a,pya,"['o', 'r', 'e', 'i', 's']"
w__,s,wis,"['o', 'e', 'a', 'r']"
g__,a,gaj,"['o', 'e', 'r', 'i', 'n']"
_ky,s,sky,"['o', 'e', 'i', 'a']"
_ur,g,gur,"['a', 's', 'o']"
_ot,h,hot,"['r', 'e']"
po_,b,pob,['l']
_a_,t,yat,"['m', 'b', 'c', 'l']"
wi_,g,wig,"['n', 'l', 's', 'e']"
l_e,y,lye,"['o', 'i', 'a', 'r']"
_ot,l,lot,"['r', 'e', 'n']"
ba_,l,bal,['r']
ar_,m,arm,['b']
_ud,g,gud,"['r', 's', 'l', 'a']"
_e_,o,neo,"['r', 'i', 's', 'a', 'l']"
sa_,m,sam,['b']
b_g,e,beg,"['i', 'a', 'o']"
_a_,w,wah,"['m', 'b', 'c', 'l', 'p']"
cu_,d,cud,['r']
_d_,a,oda,"['e', 'i', 'r', 's']"
tr_,i,tri,"['e', 'o', 'a']"
_ex,h,hex,"['r', 'a', 's', 'o']"
vi_,p,vip,['n']
__g,a,wag,"['e', 'i', 'o', 'r', 'n']"
ta_,w,taw,"['p', 'b', 'y']"
_r_,o,orc,"['e', 'i', 'a', 't', 's']"
_o_,h,hog,"['r', 'n', 'i', 'l']"
n_n,u,nun,"['o', 'i', 'a']"
a_a,t,ata,"['q', 'c', 'b', 'p', 'g']"
__r,h,her,"['o', 'i', 'a', 's', 't']"
_ud,p,pud,"['r', 's', 'l']"
_st,u,ust,"['e', 'o']"
ze_,n,zen,"['r', 'i', 'l']"
lu_,r,lur,['e']
__l,o,oil,"['e', 'a', 'r', 'n', 's']"
a__,d,add,"['c', 'l', 'r', 'm']"
b_c,a,bac,"['e', 'i']"
o_e,r,ore,['i']
c__,e,cep,"['o', 'i', 'r', 'a']"
_uu,s,suu,"['l', 'r', 't', 'o']"
o_d,l,old,['r']
h_m,u,hum,['o']
ok_,i,oki,['e']
__a,r,gra,"['i', 'e', 'o', 'n', 's']"
__d,w,owd,"['e', 'i', 'a', 'r', 's']"
pu_,b,pub,"['l', 'r']"
g_f,i,gif,"['e', 'o', 'a', 'r']"
_ol,s,sol,"['r', 'n', 't', 'c']"
g_a,o,goa,"['r', 'i']"
ri_,o,rio,"['e', 'n']"
hi_,c,hic,"['e', 'r', 'o']"
tj_,i,tji,"['e', 'o', 'a', 'r']"
_e_,w,wei,"['r', 'n', 'o', 's']"
va_,i,vai,"['l', 's', 'r']"
_b_,o,ibo,"['e', 'a', 'r', 's']"
__l,a,cal,"['e', 'o', 'i', 'r']"
n__,e,nee,"['o', 'i']"
_v_,e,eve,"['o', 'i', 'a', 'r']"
d__,e,dee,"['o', 'i']"
__k,o,rok,"['e', 'i', 'a', 'n']"
v_c,i,vic,"['o', 'e', 'a', 's']"
je_,t,jet,"['r', 'i', 'n']"
__p,i,nip,"['o', 'e', 'a', 'r', 's']"
_ee,f,fee,"['r', 's']"
_ue,l,lue,"['q', 's', 'r']"
m_r,o,mor,['i']
ko_,b,kob,"['n', 'r', 'i', 'l']"
h_h,u,huh,"['o', 'e', 'a', 'i']"
__n,s,sun,"['o', 'i', 'e', 'a', 'r']"
_al,s,sal,['b']
_a_,w,wad,"['m', 'b', 'c', 'l', 'p']"
_iv,l,liv,"['s', 'n']"
_nd,i,ind,['e']
_uh,a,auh,"['s', 'r', 'o']"
y_w,e,yew,['o']
w_e,y,wye,"['r', 'o', 'a']"
k__,r,kru,"['o', 'i', 'e', 'a']"
o__,r,our,"['e', 'i', 's', 'n']"
do_,b,dob,['r']
__g,i,nig,"['e', 'o', 'a', 'r']"
ya_,k,yak,"['n', 'r']"
_e_,n,ken,"['r', 'i', 'o', 's']"
__n,e,pen,"['o', 'i', 'a', 'r', 's']"
n_x,i,nix,"['o', 'e', 'a', 'u']"
l_d,e,led,"['o', 'i', 'a', 's']"
al_,n,aln,"['b', 'p', 'v', 'f']"
l__,s,les,"['o', 'i', 'a', 'r', 'n']"
u__,s,use,"['n', 'r', 'i', 'o']"
__m,i,kim,"['o', 'e', 'a', 'r', 's']"
k__,e,keb,"['o', 'i', 'a', 'n']"
is_,m,ism,"['o', 'e']"
__v,o,sov,"['e', 'i', 'a', 'r']"
_do,e,edo,"['i', 'a']"
w_y,h,why,"['a', 'o']"
s_o,h,sho,"['r', 'i', 't', 'l']"
t_a,o,toa,"['i', 'r', 'e']"
_ar,m,mar,['b']
_oo,g,goo,"['r', 'l']"
_h_,o,oho,['e']
e_n,y,eyn,"['r', 'o', 'i']"
tu_,x,tux,"['r', 'e', 'l', 'n']"
l_p,i,lip,['o']
_st,a,ast,"['e', 'o', 'i']"
__e,a,abe,"['r', 'o', 'i', 's', 'n']"
ri_,d,rid,"['e', 'n']"
_an,b,ban,['k']
k__,a,kaw,"['o', 'i', 'e', 'n', 'r']"
ja_,y,jay,"['n', 'm', 'b']"
_t_,s,stu,"['e', 'i', 'o', 'a']"
sh_,a,sha,"['e', 'o', 'i', 'r']"
__t,e,ket,"['o', 'i', 'a', 'r', 'n']"
_f_,o,ofo,['e']
fu_,m,fum,['r']
le_,n,len,"['o', 'a', 'r']"
d_w,o,dow,"['e', 'a', 's', 'i']"
__m,e,gem,"['o', 'i', 'a', 'r']"
e_d,r,erd,"['n', 'a', 'i']"
__d,s,sid,"['e', 'o', 'a', 'r']"
ta_,d,tad,['p']
__e,a,fae,"['r', 'o', 'i', 's', 'n']"
__c,o,soc,"['e', 'i', 'a', 'n', 'r']"
k__,a,kat,"['o', 'i', 'e', 'n']"
l__,a,lac,"['o', 'e', 'i', 'r', 'n']"
be_,a,bea,['r']
b_s,o,bos,"['e', 'i']"
__g,o,jog,"['e', 'i', 'a', 'r', 'n']"
bi_,n,bin,"['s', 'r', 'l']"
si_,l,sil,"['n', 'r']"
ly_,s,lys,"['o', 'e']"
e_m,l,elm,"['r', 'i']"
_ra,e,era,"['o', 'i', 's', 'l']"
_ar,d,dar,"['b', 'k', 'p']"
__d,r,urd,"['e', 'o', 'i', 'a', 's']"
k_l,i,kil,"['e', 'o']"
i_a,r,ira,"['n', 's', 'o']"
s__,a,saa,"['e', 'o', 'i', 'r']"
_ah,r,rah,"['k', 'm']"
_hy,s,shy,"['t', 'c', 'o', 'e']"
__p,a,map,"['o', 'e', 'i', 'r', 's']"
m_e,a,mae,"['i', 'o', 'r', 'l']"
a__,i,aim,"['c', 'l', 'r', 'd', 's']"
_my,a,amy,"['o', 'e', 'i']"
__n,f,fen,"['o', 'i', 'a', 'r', 's']"
_ol,p,pol,['r']
__t,g,gut,"['e', 'o', 'i', 'a', 'r']"
b_a,r,bra,['i']
_um,s,sum,"['l', 'r', 'i', 'e']"
__j,a,saj,"['e', 'o', 'i', 'r']"
__d,w,wed,"['o', 'i', 'a', 'r', 's']"
gi_,p,gip,"['r', 'n', 'l']"
a_t,r,art,"['c', 'f']"
t_i,a,tai,"['r', 'o', 'e', 'l']"
_ib,j,jib,['l']
ta_,y,tay,"['p', 'b']"
_au,p,pau,"['j', 'k', 'b']"
_ev,d,dev,"['r', 'l', 's', 'n']"
__a,e,tea,"['i', 'o', 'r', 'n', 's']"
g_g,a,gag,['e']
ju_,g,jug,"['r', 'n']"
__s,e,ens,"['i', 'o', 'a', 'r', 't']"
_b_,a,aba,"['o', 'e', 'i', 'r', 's']"
__t,a,apt,"['e', 'o', 'i', 'r', 'n']"
a__,l,all,"['c', 'r', 'd', 'm']"
_r_,s,mrs,"['o', 'e', 'i', 'a']"
_ub,f,fub,['s']
ox_,y,oxy,"['i', 'e']"
_n_,g,ing,"['e', 'o', 'a', 's', 'u']"
__x,r,rux,"['e', 'o', 'a', 'i']"
gu_,z,guz,"['r', 'e', 'l', 'a']"
_et,w,wet,"['r', 'l', 'n', 's']"
_ta,e,eta,['i']
_a_,i,kai,"['m', 'b', 'c', 'l']"
s__,a,sat,"['e', 'o', 'i', 'r', 'n']"
d_b,e,deb,"['o', 'i']"
p__,e,pee,['o']
p_y,a,pay,"['o', 'e', 'l']"
s_a,e,sea,"['r', 'o', 'i']"
n__,a,nam,"['o', 'i', 'e', 'r', 's']"
y_o,a,yao,"['e', 'i']"
__g,a,hag,"['e', 'i', 'o', 'r', 'n']"
s__,i,sit,"['e', 'o', 'a', 'r']"
_ri,s,sri,"['o', 'e']"
_ot,f,fot,['r']
_o_,b,bob,"['r', 'n']"
f__,o,fod,"['i', 'e', 'r', 'a', 'n']"
a__,n,ann,"['c', 'l', 'r', 'd']"
ci_,t,cit,"['n', 'r', 's']"
t_d,o,tod,"['e', 'i', 'a', 'r']"
i_o,d,ido,['n']
_o_,t,tot,"['r', 'n', 'i', 'l']"
_ar,f,far,"['b', 'k', 'p']"
_h_,p,phu,"['e', 'o', 'i', 's']"
_t_,a,ate,"['i', 'o', 'r', 's', 'n']"
b_s,i,bis,"['e', 'o', 'a']"
_oi,h,hoi,"['r', 'l']"
_xe,a,axe,"['o', 'i', 't', 'r']"
d_l,a,dal,['e']
_ud,w,wud,"['r', 's', 'l', 'a']"
_il,g,gil,"['r', 's', 'a']"
g_l,e,gel,"['o', 'a', 'i', 'r']"
_de,o,ode,"['i', 'a']"
n_r,o,nor,"['i', 'e', 'a', 'u']"
_og,f,fog,"['r', 's', 'n']"
gu_,e,gue,"['r', 'l', 'a', 's']"
_rk,i,irk,"['o', 'e']"
t_i,o,toi,"['r', 'a']"
g__,a,gad,"['o', 'e', 'r', 'i', 'n']"
nu_,l,nul,"['r', 'e']"
n_n,o,non,"['i', 'a', 'e', 'u']"
ye_,p,yep,"['o', 'i', 'r']"
_ar,l,lar,['b']
__r,e,ber,"['o', 'i', 'a', 's', 't']"
_a_,f,kaf,"['m', 'b', 'c', 'l', 'p']"
r__,e,rue,"['o', 'i', 'a', 'n']"
y_n,u,yun,"['o', 'e', 'a', 'i']"
k__,a,kra,"['o', 'i', 'e', 'n', 'l']"
_e_,b,bey,"['r', 'i', 'n', 'o', 's']"
_ut,r,rut,['o']
__e,i,gie,"['r', 'o', 'a', 's', 'n']"
f_o,l,flo,['r']
o__,h,och,"['e', 'i', 'r', 's', 'n']"
_l_,p,ply,"['o', 'e', 'i', 'a', 'r']"
_e_,l,mel,"['r', 'i', 'n', 'o', 's']"
_ly,s,sly,"['o', 'a', 'e']"
a_u,k,aku,"['b', 'p', 'g']"
u_u,m,umu,"['r', 's', 'l', 'n', 'o']"
__t,h,het,"['o', 'i', 'a', 'r', 'n']"
d__,u,dux,"['e', 'o', 'i', 'a']"
t_y,r,try,"['o', 'a']"
__i,e,eli,"['o', 'r', 'a', 's']"
mi_,l,mil,['s']
_on,m,mon,"['i', 's', 'r', 'c']"
_ew,l,lew,"['r', 'n', 's']"
_oo,b,boo,"['r', 'l', 's', 't', 'n']"
g__,i,gid,"['o', 'e', 'r', 'a']"
e__,s,ers,"['i', 'o', 'n', 'a', 't']"
__x,v,vex,"['o', 'a', 'i', 'n', 's']"
_ji,u,uji,"['e', 'a', 'o', 'r']"
ga_,m,gam,"['r', 'b', 'v', 'l']"
pi_,c,pic,"['n', 'l', 's']"
_hi,c,chi,"['s', 'r', 't', 'l']"
_ed,y,yed,"['r', 's', 'a', 'l']"
m_p,o,mop,"['i', 'e']"
n_t,u,nut,"['i', 'o', 'e', 'a']"
g_g,o,gog,"['e', 'a', 'i', 'r', 's']"
n_d,i,nid,"['e', 'o']"
_as,r,ras,"['b', 'p', 'v']"
_ab,r,rab,"['s', 't']"
_wk,o,owk,"['e', 'a']"
_a_,f,fag,"['m', 'b', 'c', 'l', 'p']"
p_r,u,pur,['i']
_or,k,kor,"['a', 'c', 's', 'n']"
p_n,a,pan,['i']
mo_,t,mot,['r']
h_w,a,haw,['o']
_ra,u,ura,"['o', 'i', 'e', 's']"
_te,u,ute,"['o', 'i', 's']"
k_u,y,kyu,['o']
ra_,w,raw,"['b', 'p']"
l_b,o,lob,"['i', 'e', 'a', 'r']"
ca_,b,cab,"['p', 'm']"
_up,d,dup,"['s', 'o', 'e']"
__k,i,ink,"['e', 'o', 'a', 'r']"
_on,g,gon,"['i', 's']"
v_g,o,vog,"['i', 'e']"
j_w,e,jew,"['o', 'a']"
fe_,y,fey,"['r', 'i']"
_a_,o,hao,"['m', 'b', 'c', 'l']"
_ui,h,hui,"['r', 'l', 's', 'q']"
_u_,o,ouf,"['r', 'e', 's', 'i', 'a']"
_n_,a,ana,"['i', 'e']"
g__,u,gum,"['o', 'e', 'r', 'a', 'i']"
__s,e,ges,"['i', 'o', 'a', 'r']"
l_u,e,leu,"['o', 'a', 'i']"
__a,h,cha,"['i', 'e', 'o', 'r', 'n']"
le_,r,ler,"['o', 'a']"
_m_,a,ama,['e']
_mp,i,imp,"['e', 'o', 'a', 's']"
bu_,m,bum,"['r', 'n']"
ya_,h,yah,"['k', 'n']"
_oo,m,moo,"['r', 'l', 's', 't']"
_an,s,san,"['k', 'p', 'b', 'j']"
da_,n,dan,['v']
e_s,l,els,"['i', 'a']"
ha_,p,hap,"['m', 'y']"
_r_,o,ory,"['e', 'i', 'a', 't', 's']"
__w,e,mew,"['o', 'i', 'a', 'n', 'r']"
re_,p,rep,['i']
c_m,u,cum,"['o', 'i']"
b__,u,but,"['e', 'o', 'i', 'a', 'r']"
c__,a,cad,"['o', 'i', 'e', 'r']"
_a_,c,cay,"['m', 'b', 'l', 'p', 'r']"
l_b,a,lab,['o']
__i,h,phi,"['o', 'r', 'e', 'a']"
ga_,p,gap,"['r', 'b']"
cr_,y,cry,"['e', 'o', 'i']"
di_,b,dib,"['s', 'o']"
s__,a,sia,"['e', 'o', 'r', 'n', 't']"
_er,k,ker,"['i', 's']"
__b,h,hub,"['o', 'e', 'i', 'a']"
_l_,a,aly,"['o', 'e', 'i', 'r', 's']"
r_t,a,rat,"['e', 'o', 'i', 's']"
__s,g,gus,"['i', 'e', 'o', 'a']"
mu_,s,mus,"['r', 'l']"
_o_,p,cop,"['r', 'n', 'i', 'l']"
o_s,d,ods,"['r', 'e']"
vi_,a,via,"['n', 's', 'e', 'l']"
du_,n,dun,"['r', 'l']"
au_,m,aum,"['r', 's', 't', 'l']"
_ib,t,tib,"['l', 'r', 's']"
_e_,n,men,"['r', 'i', 'o', 's']"
gi_,t,git,['r']
_oe,s,soe,"['r', 'l', 'n']"
l_t,i,lit,['e']
a_e,l,ale,"['p', 'v', 'b', 'd']"
_a_,p,pad,"['m', 'b', 'c', 'l', 'r']"
a_o,b,abo,['p']
dy_,e,dye,"['o', 'a', 's']"
po_,h,poh,['l']
__s,i,its,"['e', 'o', 'a', 'r', 'n']"
m_n,i,min,['o']
d_s,i,dis,['e']
_i_,v,vie,"['n', 'r', 's', 'l']"
s_t,e,set,"['i', 'o', 'a', 'r']"
g__,a,gat,"['o', 'e', 'r', 'i']"
s__,i,ski,"['e', 'o', 'a', 'r', 'n']"
w__,a,wab,"['o', 'i', 'e', 'r', 'n']"
e__,r,err,['i']
o_m,h,ohm,"['r', 's', 'i', 'e']"
_a_,w,war,"['m', 'b', 'c', 'l']"
__w,o,mow,"['e', 'i', 'a', 'n', 'r']"
_e_,w,new,"['r', 'i', 'o', 's', 'a']"
_u_,f,fud,"['r', 'o', 'e', 's', 'i']"
v_t,e,vet,"['i', 'o', 'a', 's']"
_i_,l,lid,"['n', 'r', 's', 'o', 'e']"
f_p,o,fop,"['i', 'e', 'a']"
pe_,g,peg,"['i', 'r']"
_l_,e,elb,"['o', 'i', 'a', 'r']"
a_t,i,ait,"['c', 'f', 'l']"
d__,i,dim,"['e', 'o', 'a', 'r']"
ps_,i,psi,['o']
ho_,y,hoy,"['r', 'l', 'e', 'n']"
__g,a,mag,"['e', 'i', 'o', 'r']"
_y_,e,bye,"['o', 'r', 'i', 's']"
_oo,l,loo,"['r', 's', 't', 'n']"
_k_,a,aka,['e']
p_p,i,pip,"['o', 'e', 'a', 's', 'r']"
t__,g,tig,"['e', 'o', 'a', 'r']"
a__,e,ade,"['c', 'l', 'r', 'm', 's']"
r_b,i,rib,"['o', 'e', 'a', 's']"
_ee,t,tee,"['r', 's', 'l', 'n']"
_im,v,vim,"['l', 's', 'r']"
i_o,a,iao,"['n', 's', 'r', 'l']"
_ui,k,kui,"['r', 'l', 's', 'q']"
h_e,o,hoe,['i']
_cy,i,icy,['a']
__t,o,bot,"['e', 'i', 'a', 'r', 'n']"
_he,c,che,"['s', 't']"
_va,e,eva,"['o', 'i', 'r']"
_a_,e,eat,"['m', 'b', 'c', 'l', 'p']"
__r,a,bar,"['o', 'e', 'i', 's', 't']"
__r,a,sar,"['o', 'e', 'i', 't', 'n']"
