masked_word,target,original_word,wrong_guesses
ye_,d,yed,"['o', 'i', 'r', 'a']"
sl_,t,slt,"['e', 'o', 'a']"
te_,d,ted,"['r', 'n', 'a', 'o']"
_wm,a,awm,"['o', 'e', 's', 'i']"
_nk,i,ink,"['e', 'a']"
__p,f,rfp,"['o', 'e', 'i', 'a']"
u_s,i,uis,"['n', 'r']"
se_,a,sea,['r']
__r,l,lsr,"['o', 'e', 'i', 'a']"
bi_,a,bia,"['n', 's']"
__u,p,apu,"['o', 'r', 'e', 'i']"
n_m,l,nlm,"['o', 'i']"
_mw,l,lmw,['e']
ru_,n,run,"['e', 's']"
_d_,a,ads,"['e', 'i', 'o', 'r', 't']"
bf_,a,bfa,"['i', 'e', 'o']"
__r,t,tfr,"['o', 'e', 'i', 'a', 's']"
_l_,p,pls,"['o', 'e', 'i', 'a']"
sc_,d,scd,"['o', 'r', 'i']"
_o_,d,dow,"['r', 'n', 'i', 'l']"
c_c,m,cmc,"['o', 'i', 'e', 'a', 's']"
_o_,m,hom,"['r', 'n', 'i', 'l']"
_tr,u,utr,"['i', 'o', 'e', 's']"
jn_,t,jnt,"['e', 'o']"
_ee,d,dee,"['r', 's', 'l']"
s_o,h,sho,"['r', 'i', 't']"
h_c,l,hlc,"['e', 'o']"
__n,u,sun,"['o', 'i', 'e', 'a', 'r']"
v_r,c,vcr,"['i', 'e', 'o', 'a']"
_l_,c,cls,"['o', 'e', 'i', 'a']"
_um,g,gum,"['l', 'r', 's', 'i']"
aa_,o,aao,"['l', 'r', 'c', 'm']"
_ba,h,hba,"['o', 'e', 'i', 'r']"
ee_,k,eek,"['r', 'l']"
_um,t,tum,"['l', 'r', 's', 'i']"
q_f,e,qef,"['i', 'a']"
q_s,i,qis,['e']
ir_,v,irv,"['e', 'o', 'n']"
_p_,t,ept,"['o', 'i', 's', 'a', 'r']"
i__,l,icl,"['n', 'o', 'e', 'r', 's']"
om_,v,omv,"['i', 'e', 'a', 's']"
pc_,f,pcf,"['o', 'i', 'e']"
q__,d,qda,"['e', 'i', 'o', 'u', 's']"
x__,n,xns,"['e', 'o', 'i', 'a']"
_tf,n,ntf,['e']
_v_,i,ovi,"['e', 'a', 'r', 's', 'n']"
_u_,t,jut,"['r', 'o', 'e', 's']"
c__,a,cga,"['o', 'i', 'e', 'r', 'n']"
cu_,d,cud,"['r', 'l', 'e', 'n']"
_v_,e,eve,"['o', 'i', 'a']"
df_,a,dfa,"['e', 'i']"
_sb,a,asb,['e']
_f_,m,mft,"['e', 'o', 'i', 'a']"
p_p,d,pdp,"['o', 'i', 'e', 'a']"
l_a,o,loa,"['e', 'i', 'r', 's']"
u__,m,umm,"['n', 'r', 'i']"
vo_,w,vow,['l']
_ei,f,fei,['r']
a_v,r,arv,"['l', 'd', 'c', 's']"
__g,y,zyg,"['e', 'i', 'o', 'a', 'r']"
_hw,m,mhw,['s']
_fk,j,jfk,"['o', 'e', 'i']"
_a_,r,war,"['m', 'b', 'c', 'l', 'p']"
_dd,t,tdd,['e']
__f,d,sdf,"['e', 'i', 'o', 'a']"
lg_,a,lga,"['o', 'i', 'e']"
v_e,m,vme,"['i', 'a', 'o', 'r']"
a_u,r,aru,['b']
_r_,u,kru,"['o', 'e', 'i', 'a', 't']"
ba_,n,ban,"['l', 'r', 'd']"
__u,c,scu,"['o', 'r', 'e', 'i', 'a']"
__w,c,csw,"['o', 'e', 'i', 'a']"
au_,h,auh,"['r', 's', 't']"
mm_,x,mmx,"['e', 'i', 'o', 'a', 's']"
_u_,a,aug,"['r', 'o', 'e', 's', 'i']"
ob_,l,obl,"['i', 'e', 'r']"
sg_,t,sgt,"['i', 'e']"
d_s,o,dos,"['e', 'i', 'a']"
_nd,h,hnd,['e']
__f,b,bsf,"['e', 'i', 'o', 'a', 'r']"
_rn,s,srn,"['o', 'e', 'a', 'i']"
_cs,m,mcs,"['e', 'o', 'i']"
d_f,t,dtf,['e']
___,x,xxx,"['o', 'i', 'e', 'a']"
__t,m,mmt,"['e', 'o', 'i', 'a']"
_my,a,amy,['o']
mu_,f,muf,"['r', 'l', 's']"
___,b,bbb,"['o', 'i', 'e', 'a']"
x_d,i,xid,"['e', 'o']"
__g,p,npg,"['e', 'i', 'o', 'a', 'r']"
__s,m,mhs,"['i', 'e', 'o', 'a', 'r']"
_aw,m,maw,"['j', 'b']"
l__,d,lcd,"['o', 'e', 'i', 'a', 'r']"
wa_,b,wab,"['y', 'k', 'x']"
e_v,c,ecv,"['n', 'r', 'a', 'i']"
y_b,o,yob,"['e', 'a']"
n_x,y,nyx,['o']
_u_,d,oud,"['r', 'e', 's', 'i', 'a']"
_en,f,fen,"['r', 's', 'a']"
_pp,d,dpp,"['i', 'o', 'e', 'a', 's']"
t_s,p,tps,"['e', 'i']"
he_,w,hew,"['r', 'i', 'o']"
__c,b,bwc,"['o', 'e', 'i', 'a']"
__r,a,oar,"['e', 'i', 's', 't', 'n']"
n_g,h,nhg,"['i', 'e', 'o', 'a']"
ex_,r,exr,"['i', 'o', 'a', 't']"
i__,m,ism,"['n', 'o', 'e', 'r']"
wo_,k,wok,"['r', 'n']"
__c,l,plc,"['o', 'e', 'i', 'a', 'n']"
_v_,a,avg,"['o', 'e', 'i', 'r']"
a__,p,acp,"['l', 'r', 'd', 'm']"
_t_,w,wtr,"['e', 'i', 'o', 'a', 's']"
m_p,v,mvp,"['o', 'i', 'e', 'a']"
_aj,m,maj,"['b', 'k', 's']"
b__,i,bis,"['e', 'o', 'a', 'r']"
_v_,m,avm,"['o', 'e', 'i', 'r', 's']"
l_v,i,liv,"['o', 'e', 'a']"
de_,c,dec,"['r', 'o', 's', 'a']"
_po,k,kpo,['e']
t_o,b,tbo,"['r', 'i']"
__a,r,wra,"['i', 'e', 'o', 'n']"
_cc,g,gcc,"['o', 'e', 'i', 'a']"
s_p,o,sop,['e']
__c,t,tgc,"['o', 'e', 'i', 'a']"
s_f,o,sof,"['e', 'i']"
d__,u,dsu,"['e', 'o', 'i', 'a']"
_o_,g,gow,"['r', 'n', 'i', 'l', 's']"
_pp,e,epp,"['i', 'o', 'a', 's']"
c_i,h,chi,"['r', 'o', 'l', 'a']"
i_b,m,imb,"['r', 'l', 'n', 's']"
_tt,r,rtt,"['e', 'i', 'o', 'a', 's']"
lo_,n,lon,['r']
_pm,o,opm,"['e', 'i']"
f__,a,fag,"['o', 'i', 'e', 'r']"
ms_,l,msl,"['e', 'i', 'o']"
_fd,r,rfd,"['e', 'o', 'i', 'a']"
nn_,e,nne,"['i', 'o']"
ye_,p,yep,"['o', 'i']"
_bu,a,abu,"['o', 'i']"
_xx,n,nxx,"['e', 'o', 'a', 'i']"
_ll,r,rll,"['e', 'i', 'a']"
_ue,l,lue,['q']
_xh,e,exh,"['o', 'a']"
nt_,s,nts,['i']
b__,l,bll,"['e', 'o', 'i']"
so_,c,soc,"['r', 'l', 'i']"
c__,a,caa,"['o', 'i']"
ee_,c,eec,"['r', 'l']"
b_t,p,bpt,"['e', 'i', 'o']"
sr_,i,sri,['e']
_mj,b,bmj,"['e', 'i', 'o', 'a']"
pf_,x,pfx,"['o', 'i']"
__r,t,ltr,"['o', 'e', 'i', 'a']"
c__,e,cge,"['o', 'i', 'r', 'a']"
el_,c,elc,"['i', 'o']"
__l,e,eol,"['i', 'a', 'r', 'n', 's']"
m__,l,mpl,"['e', 'o', 'i', 'a', 'r']"
__j,d,ddj,"['e', 'o', 'i', 'a']"
o__,u,our,"['e', 'i', 's', 'n', 'a']"
__j,a,gaj,"['e', 'o', 'i', 'r']"
da_,x,dax,"['v', 'b', 'm']"
_g_,o,ogo,"['e', 'i', 'a', 'r']"
nd_,e,nde,['o']
_i_,t,tid,"['n', 'r', 's', 'l', 'o']"
_d_,e,edy,"['i', 'o', 'a', 'r', 's']"
k__,p,kph,"['o', 'i', 'e', 'a']"
k__,i,kai,"['o', 'e', 'n', 'r', 'l']"
_vs,d,dvs,['o']
_ax,s,sax,"['t', 'm']"
a__,q,aql,"['c', 'r', 'd', 'm', 's']"
be_,v,bev,"['r', 'n', 'l']"
nd_,i,ndi,"['e', 'o']"
un_,s,uns,"['i', 'e']"
r_u,s,rsu,"['o', 'e']"
wh_,s,whs,"['e', 'o', 'i', 'a']"
a_y,n,any,"['l', 'r', 'm']"
a_a,b,aba,"['q', 'c', 'p', 'g', 'm']"
__y,f,fry,"['o', 'e', 'a', 'i', 'n']"
p_o,s,pso,"['r', 'l']"
b_y,v,bvy,"['o', 'a']"
_ee,n,nee,['r']
_d_,e,edf,"['i', 'o', 'a', 'r', 's']"
__m,i,cim,"['o', 'e', 'a', 'r', 's']"
pf_,d,pfd,"['o', 'i', 'e', 'a']"
__d,i,ind,"['e', 'o', 'a', 'r', 's']"
_st,l,lst,"['e', 'o', 'i']"
_r_,g,org,"['e', 'i', 'a', 't', 's']"
id_,s,ids,['e']
__b,m,mab,"['o', 'e', 'i', 'r', 's']"
_ac,t,tac,['b']
w_d,u,wud,"['e', 'i', 'o', 'a']"
__m,u,ubm,"['o', 'e', 'i', 'a']"
_i_,l,oil,"['n', 'r', 's', 'e', 'a']"
_ee,c,cee,"['r', 's', 'l']"
__c,l,lpc,"['o', 'e', 'i', 'a', 'n']"
_l_,a,aly,"['o', 'e', 'i', 'r', 's']"
_ue,r,rue,['q']
s__,i,sui,"['e', 'o', 'a', 'r', 'n']"
_hd,m,mhd,"['o', 'e', 'r', 's']"
l_g,t,ltg,"['i', 'o', 'e']"
ce_,b,ceb,"['r', 'i', 'o', 'a']"
i_o,f,ifo,['n']
b_l,u,bul,"['e', 'i', 'a']"
a_h,n,anh,"['c', 'p', 'b']"
fc_,o,fco,"['i', 'e', 'r', 's']"
_mc,g,gmc,"['e', 'i']"
_aw,r,raw,['j']
s__,f,sfz,"['e', 'o', 'i', 'a']"
t_a,e,tea,['i']
gh_,i,ghi,"['e', 'o']"
___,d,ddd,"['o', 'i', 'e', 'a', 'r']"
o__,d,odz,"['e', 'i', 'r', 's']"
uc_,d,ucd,"['i', 'o']"
__c,n,nwc,"['o', 'e', 'i', 'a', 'r']"
_le,b,ble,"['o', 'a', 'i']"
_el,g,gel,"['r', 'o', 'a']"
pw_,d,pwd,"['o', 'e', 'i', 'a']"
_y_,l,lys,"['o', 'r', 'e', 'i']"
_s_,t,tsr,"['o', 'e', 'i', 'a']"
mv_,a,mva,"['e', 'i', 'o']"
_is,p,pis,"['r', 'l', 'a']"
__s,c,cfs,"['i', 'e', 'o', 'a', 'r']"
tt_,s,tts,"['e', 'i']"
_i_,t,cit,"['n', 'r', 's', 'l', 'o']"
r__,c,rcu,"['e', 'o', 'i', 'a']"
rh_,v,rhv,"['o', 'e']"
_pr,c,cpr,['s']
h_k,t,htk,"['e', 'o']"
ah_,o,aho,"['m', 'u']"
c__,l,crl,"['o', 'i', 'e', 'a']"
__u,d,pdu,"['o', 'r', 'e', 'i', 'a']"
__c,f,frc,"['o', 'e', 'i', 'a', 'n']"
q_m,a,qam,['i']
h_t,s,hst,"['e', 'o', 'i', 'a']"
rd_,p,rdp,"['e', 'o', 'i']"
_cc,t,tcc,"['o', 'e', 'i', 'a']"
_d_,l,pdl,"['e', 'i', 'o', 'a', 'r']"
sd_,i,sdi,"['e', 'o', 'r']"
_u_,d,dun,"['r', 'o', 'e', 's']"
e_l,f,efl,"['i', 'a', 'n']"
x_v,u,xuv,"['i', 'e', 'o']"
qn_,p,qnp,['e']
__s,o,oos,"['i', 'e', 'a', 'r']"
bm_,t,bmt,"['e', 'i']"
__r,g,gyr,"['o', 'e', 'i', 'a', 's']"
v_g,o,vog,"['i', 'e', 'a', 's']"
j_y,a,jay,"['o', 'e', 'i', 'u']"
d_e,i,die,"['r', 'o']"
d_d,a,dad,"['e', 'i', 'o']"
_l_,g,rlg,"['o', 'e', 'i', 'a', 's']"
i_s,t,its,"['n', 'o', 'e', 'r']"
__i,c,gci,"['o', 'r', 'e', 'a', 's']"
f_r,a,far,"['o', 'i']"
_n_,r,rnr,"['i', 'e', 'o', 'a']"
_as,r,ras,"['b', 'p', 'v']"
d__,l,dll,['e']
w__,a,wah,"['o', 'i', 'e', 'r', 'n']"
a_a,h,aha,"['q', 'c', 'b', 'p', 'g']"
__o,n,nro,"['i', 'e', 'a', 's']"
cv_,t,cvt,"['e', 'i', 'o', 'r']"
h__,i,hic,"['e', 'o', 'a', 'r', 'n']"
_o_,p,fop,"['r', 'n', 'i', 'l', 's']"
ud_,b,udb,['e']
a__,l,aul,"['c', 'r', 'd', 'm', 's']"
_td,p,ptd,['e']
w__,m,wmk,"['o', 'i', 'e', 'a', 'r']"
_c_,t,gct,"['o', 'e', 'i', 'a', 's']"
__d,f,nfd,"['e', 'o', 'i', 'a', 'r']"
k_u,s,ksu,"['o', 'l', 'r']"
h_m,i,him,"['o', 'e', 'a']"
_d_,a,oda,"['e', 'i', 'r', 's', 't']"
u__,f,ufo,"['n', 'r', 'i', 'e', 's']"
f__,p,fps,"['o', 'i', 'e', 'r']"
_is,a,ais,"['r', 'l']"
_r_,p,srp,"['o', 'e', 'i', 'a']"
tc_,m,tcm,['i']
_r_,c,crc,"['o', 'e', 'i', 'a']"
_g_,m,mgm,"['e', 'i', 'o']"
s__,c,svc,"['e', 'o', 'i', 'a', 'r']"
_m_,a,amr,"['e', 'i', 'o', 's']"
b__,m,bmv,"['e', 'o', 'i', 'a', 'r']"
_o_,m,mob,"['r', 'n', 'i', 'l', 's']"
__e,i,iie,"['r', 'o', 'a', 's']"
_a_,g,gar,"['m', 'b', 'c', 'l', 'p']"
pb_,d,pbd,['o']
q__,m,qmg,"['e', 'i', 'a', 'o', 'u']"
_st,u,ust,"['e', 'o', 'i']"
__e,i,ike,"['r', 'o', 'a', 's', 'n']"
m_s,p,mps,"['i', 'e', 'o', 'a']"
ku_,r,kur,"['n', 'l']"
s_e,o,soe,"['i', 'a', 'r']"
_ag,h,hag,"['j', 'b']"
u_d,s,usd,"['n', 'e']"
_g_,u,ugo,"['e', 'i', 'a', 'r', 'n']"
_ad,e,ead,['b']
sn_,m,snm,"['e', 'o', 'i', 'a']"
os_,d,osd,['e']
ro_,w,row,['e']
__m,a,aam,['o']
_bf,l,lbf,"['o', 'e', 'i', 'a']"
_fb,r,rfb,"['e', 'i', 'o']"
ll_,b,llb,['o']
og_,i,ogi,"['e', 'a', 'r', 's']"
__i,w,owi,"['r', 'e', 'a', 's']"
p_g,f,pfg,"['i', 'e', 'a']"
_e_,p,pea,"['r', 'i', 'n', 'o']"
o_f,a,oaf,"['e', 'r']"
cy_,l,cyl,"['e', 'n']"
gm_,b,gmb,"['e', 'o']"
ig_,o,igo,"['e', 'n']"
a__,m,aum,"['c', 'l', 'r', 'd']"
nu_,j,nuj,"['r', 'e', 'l', 's']"
_v_,a,uva,"['o', 'e', 'i', 'r', 's']"
vi_,e,vie,"['n', 's']"
__g,p,rpg,"['e', 'i', 'o', 'a', 'n']"
ss_,m,ssm,"['o', 'e', 'i', 'a']"
_t_,l,btl,"['e', 'i', 'o', 'a', 'r']"
_wk,o,owk,"['e', 'a']"
_y_,e,eyn,"['o', 'r', 'i', 's', 'l']"
k__,a,kra,"['o', 'i', 'e', 'n']"
f_s,c,fcs,"['i', 'o', 'e', 'a']"
s_c,f,sfc,"['o', 'i']"
h_y,o,hoy,"['a', 'e']"
f_c,o,foc,"['i', 'e', 'a', 's']"
_l_,m,ulm,"['o', 'e', 'i', 'a']"
_n_,a,ona,"['i', 'e', 's', 'u']"
_ur,e,eur,"['a', 's', 'o', 'c']"
ss_,r,ssr,"['o', 'e', 'i', 'a']"
_aps,z,zaps,"['c', 'l']"
_uli,j,juli,['r']
m_c_,i,mice,"['o', 'a', 'r', 'u']"
wen_,s,wens,"['t', 'd']"
gn__,o,gnow,"['e', 'a', 'i']"
___w,l,glew,"['o', 'i', 'r', 'a', 'n']"
_igs,d,digs,['n']
_eg_,r,regr,"['i', 'a', 's']"
_cht,e,echt,['o']
___d,o,pood,"['e', 'i', 'r', 'a']"
waa_,f,waaf,"['y', 'k', 'l']"
__c_,d,mlcd,"['i', 'e', 'o', 'a']"
o_a_,f,ofay,"['l', 'r', 'k']"
t__t,a,taft,"['o', 'e', 'i', 'r', 'n']"
r___,a,raga,"['e', 'o', 'i', 'n']"
___r,t,ster,"['o', 'i', 'a', 'n']"
_izz,g,gizz,"['l', 's', 'r', 'n']"
h_e_,l,hler,"['i', 'o', 'a']"
_ar_,v,vary,"['b', 'k', 'm', 'd']"
bw__,t,bwts,"['e', 'o', 'i']"
_l_p,u,slup,"['o', 'i', 'a']"
p___,i,pigs,"['o', 'e', 'a', 'r']"
snp_,a,snpa,"['e', 'i']"
m_al,e,meal,"['y', 'o']"
__d_,u,buds,"['e', 'i', 'o', 'a', 'n']"
t_t_,i,tita,"['e', 'o', 's', 'r', 'n']"
c__o,i,crio,"['a', 'l', 'n']"
bi__,e,bize,"['o', 'n', 'r']"
sy__,t,syrt,"['e', 'o', 'n']"
s_ms,b,sbms,"['o', 'i', 'a']"
